task_name,task_start_date,task_finish_date,task_status,task_milestone,project_name,task_assignee,task_work_hours
要件定義・仕様検討,2025/03/01,2025/03/15,完了,○,新規プロジェクト,自社,80.0
設備メーカー選定・発注,2025/03/16,2025/03/31,完了,-,新規プロジェクト,自社,40.0
レイアウト設計,2025/04/01,2025/04/15,完了,-,新規プロジェクト,自社,60.0
電気・配管工事計画,2025/04/01,2025/04/10,完了,-,新規プロジェクト,自社,30.0
安全審査,2025/04/11,2025/04/20,進行中,-,新規プロジェクト,自社,24.0
既存設備撤去作業,2025/04/21,2025/04/30,未着手,-,新規プロジェクト,外部業者,120.0
床面・電気工事,2025/05/01,2025/05/15,未着手,-,新規プロジェクト,外部業者,160.0
設備搬入・据付,2025/05/16,2025/05/31,未着手,○,新規プロジェクト,外部業者,200.0
ユーティリティ接続,2025/06/01,2025/06/07,未着手,-,新規プロジェクト,外部業者,80.0
単体試運転,2025/06/08,2025/06/15,未着手,-,新規プロジェクト,自社,60.0
プログラム調整,2025/06/16,2025/06/30,未着手,-,新規プロジェクト,自社,100.0
統合試運転,2025/07/01,2025/07/15,未着手,○,新規プロジェクト,自社,120.0
不具合対応・調整,2025/07/16,2025/07/31,未着手,-,新規プロジェクト,自社,80.0
操作マニュアル作成,2025/07/16,2025/07/31,未着手,-,新規プロジェクト,自社,40.0
作業者教育・トレーニング,2025/08/01,2025/08/15,未着手,-,新規プロジェクト,自社,60.0
試作品製造,2025/08/16,2025/08/31,未着手,-,新規プロジェクト,自社,100.0
品質検証,2025/09/01,2025/09/15,未着手,○,新規プロジェクト,自社,120.0
量産試作,2025/09/16,2025/09/30,未着手,-,新規プロジェクト,自社,80.0
工程能力評価,2025/10/01,2025/10/15,未着手,-,新規プロジェクト,自社,60.0
量産移行判定会議,2025/10/16,2025/10/18,未着手,○,新規プロジェクト,自社,16.0
量産立ち上げ支援,2025/10/19,2025/10/31,未着手,-,新規プロジェクト,自社,100.0
プロジェクト完了報告,2025/11/01,2025/11/07,未着手,○,新規プロジェクト,自社,24.0
